epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.07887115323820035;0.980875;0.2722770463676144;0.8690318694316953;0.29518072289156627;0.98097146;0.9166667;0.9998724;0.06748466;0.980625;0.16346661494468182;0.8538617159069882;0.0915159237536136;0.22784810126582278;0.98098576;0.5;0.9996176;0.019354839
1;0.06977378982119262;0.979375;0.23055041389409545;0.862499955005569;0.2818991097922849;0.9800263;0.62068963;0.9992977;0.053412464;0.979625;0.19934744066121143;0.8767348790448087;0.08363167230808176;0.22527472527472528;0.9804634;0.53333336;0.9991067;0.048780486
2;0.08074751607928192;0.9796875;0.20866987670118156;0.8550150751732841;0.25210084033613445;0.97997624;0.7368421;0.9996808;0.04191617;0.978375;0.27880341293635896;0.8513793640089226;0.08597206555306912;0.3165829145728643;0.97834253;1.0;1.0;0.06486487
3;0.07327557178394636;0.981;0.22739570698816594;0.8783331512709153;0.3003194888178914;0.98201644;0.58536583;0.99891645;0.07717042;0.975375;0.3128841446704653;0.8740175984339719;0.07571602155151777;0.3568075117370892;0.97640264;0.72727275;0.9988444;0.11320755
4;0.07800489320117049;0.9825625;0.31240328809980183;0.8889525993883792;0.3212121212121212;0.9831401;0.7777778;0.9993629;0.11513158;0.978;0.2863534744491064;0.8658099444687434;0.08154304683720694;0.3425414364640884;0.9791849;0.6;0.99872106;0.08287293
5;0.07877120793022914;0.9815625;0.29520357071843506;0.8734438130074922;0.3542319749216301;0.9829328;0.63492066;0.9985339;0.12820514;0.979375;0.2747257375865474;0.8491170098552886;0.07398655177024194;0.29608938547486036;0.9807837;0.68421054;0.99846566;0.1452514
6;0.08255589703173609;0.980875;0.27145744511142594;0.8760179632178335;0.3416149068322981;0.9819413;0.65384614;0.9988519;0.10559006;0.97875;0.28178331186188227;0.8569811766564537;0.08066407738020644;0.3005464480874317;0.97943574;0.76;0.9992325;0.10382514
7;0.07037319778191159;0.980375;0.22631302002072565;0.8599636508770021;0.30030959752321984;0.9807247;0.71428573;0.9996173;0.04643963;0.9795;0.20938289976030153;0.8496523073598405;0.071256061532069;0.26627218934911245;0.9802079;0.64705884;0.99923384;0.06508876
8;0.07728137397108367;0.9795625;0.32973485853747586;0.8999895135430953;0.3561253561253561;0.9803135;0.74;0.9991693;0.10541311;0.9785;0.3526625678453411;0.8906785756977751;0.07372626379865688;0.3684210526315789;0.97931033;0.72;0.9991045;0.09836066
9;0.07913823181175395;0.9799375;0.28961621468940096;0.8740482790405144;0.30903790087463556;0.9802117;0.83870965;0.9996807;0.07602339;0.9785;0.34985118841900775;0.895208246779158;0.07467634460725822;0.3968253968253968;0.9790596;0.8;0.99936;0.10695187
10;0.06995259523642017;0.9794375;0.2687227743002018;0.8810469352950911;0.30177514792899407;0.98068845;0.5882353;0.9986592;0.088757396;0.978625;0.18677073303931718;0.8575022722438166;0.08547208370879525;0.24404761904761904;0.98044133;0.375;0.9980855;0.054545455
