epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.34772413658355883;0.8751447;0.471300791319184;0.8247136202553084;0.4765978862606945;0.88315815;0.6515748;0.9860564;0.1665828;0.8718187;0.47210282710343265;0.8278174127518325;0.30758552614907014;0.47477064220183485;0.88311267;0.592;0.98169416;0.16972478
1;0.3242398624756718;0.8780737;0.502580979616059;0.8332422920085011;0.5062908907901359;0.88405186;0.70309275;0.98865604;0.1716155;0.87740535;0.5066655882807459;0.8339917971245481;0.3042517484510855;0.5;0.8845288;0.6814159;0.98707825;0.17660551
2;0.31702929316091727;0.88229686;0.517897682033579;0.839291815581808;0.5097940733299849;0.902688;0.6215962;0.9682527;0.3331656;0.87895715;0.5208577875815491;0.8391819846282527;0.29808784970432095;0.5022935779816514;0.90228343;0.5942623;0.9644652;0.3325688
3;0.31080406241377223;0.8836591;0.5300264508600124;0.8425543367638824;0.5103170608958228;0.8909052;0.7217806;0.986214;0.22848515;0.8808194;0.5218262912397965;0.8369303924603357;0.3051207959050721;0.4978813559322034;0.89069617;0.6756757;0.982771;0.2293578
4;0.3073506365455908;0.8854983;0.5430739985720237;0.8485272436902573;0.5244086562657272;0.8956672;0.7002618;0.98196;0.26925012;0.8829919;0.5235797587325854;0.8401069074072854;0.29521814910874167;0.5102974828375286;0.89582646;0.66480446;0.97846377;0.27293578
5;0.3056933817744669;0.8860432;0.5463411287840867;0.8506874961394328;0.5266599597585513;0.89374775;0.728863;0.9853474;0.25163564;0.8823712;0.527295401255581;0.8425392032245105;0.2937372826423651;0.5206422018348624;0.8936866;0.6727273;0.98061734;0.25458714
6;0.30111198512257853;0.88577074;0.5553350404682479;0.8530677860481026;0.5274282838449924;0.8896513;0.7849265;0.99078304;0.21489683;0.8820608;0.5319900132132905;0.841329847138708;0.29365654745729425;0.5068807339449541;0.8885659;0.7222222;0.9874372;0.2087156
7;0.3033215280752417;0.88372725;0.5585723906467107;0.8564229211951102;0.5334338863750628;0.8861863;0.80701756;0.99306756;0.18520382;0.8798883;0.5337439917482902;0.8438782213821399;0.2934345066232906;0.5125858123569794;0.88556737;0.7207207;0.98887295;0.18348624
8;0.30028435609400916;0.88815475;0.5644137398971834;0.8585932041807275;0.53420523138833;0.89985526;0.70034844;0.9796754;0.30347258;0.8833023;0.5306007275883923;0.843900037540257;0.29269457798078885;0.517162471395881;0.899271;0.64705884;0.9741565;0.3027523
9;0.29853293276231746;0.8883591;0.5698614819699013;0.8610307831216442;0.5359838953195772;0.8951884;0.75072044;0.9863715;0.26220432;0.8836127;0.5367154041322002;0.8470082226334819;0.29152408963234655;0.518348623853211;0.894083;0.68711656;0.98169416;0.25688073
